
---------- Begin Simulation Statistics ----------
sim_seconds                                  0.010239                       # Number of seconds simulated
sim_ticks                                 10238936787                       # Number of ticks simulated
final_tick                                10238936787                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_inst_rate                                 103839                       # Simulator instruction rate (inst/s)
host_op_rate                                   103839                       # Simulator op (including micro ops) rate (op/s)
host_tick_rate                               16607984                       # Simulator tick rate (ticks/s)
host_mem_usage                                 692808                       # Number of bytes of host memory used
host_seconds                                   616.51                       # Real time elapsed on the host
sim_insts                                    64017228                       # Number of instructions simulated
sim_ops                                      64017228                       # Number of ops (including micro ops) simulated
system.voltage_domain.voltage                       1                       # Voltage in Volts
system.clk_domain.clock                          1000                       # Clock period in ticks
system.mem_ctrls.bytes_read::cpu00.inst        129024                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu00.data        872896                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu01.inst         12736                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu01.data        609600                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu02.inst          1088                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu02.data        532416                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu03.inst           192                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu03.data        522048                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu04.inst           384                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu04.data        570944                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu05.inst           384                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu05.data        531328                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu06.inst           384                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu06.data        528256                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu07.inst           128                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu07.data        562368                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu08.inst            64                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu08.data        563968                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu09.data        520256                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu10.data        527488                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu11.inst            64                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu11.data        520512                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu12.inst          1216                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu12.data        549120                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu13.data        515712                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu14.inst           128                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu14.data        528960                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu15.inst           896                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu15.data        549376                       # Number of bytes read from this memory
